0;Кислотные брызги;Трюк, призыв;1 действие;60 футов;В, С;мгновенно; Вы выпускаете пузырь кислоты. Выберите одну цель в пределах дальности заклинания или две цели, которые находятся в 5 футах друг от друга. Цель должна сделать успешный спасбросок по Ловкости или получит 1d6 урона кислотой. Урон заклинания увеличивается на 1d6, по достижению 5 уровня (2d6), 11 уровня (3d6) и 17 уровня (4d6).;Чародей;
0;Щит от клинков;Трюк, ограждение;1 действие;Вы;В, С;1 раунд; Вы поднимаете руку и чертите в воздухе защитный символ. До конца вашего следующего хода вы получаете сопротивление к дробящему, режущему и колющему урону от оружия.;Чародей;
0;Леденящее прикосновение;Трюк, некромантия;1 действие;120 футов;В, С;1 раунд; Вы создаете призрачную, костяную руку около существа в пределах дальности заклинания. Сделайте Выную атаку дальнего боя против существа, чтобы атаковать его могильным холодом. При попадании существо получает 1d8 некротического урона и не может восстанавливать ОЗ до начала вашего следующего хода. До этого момента рука цепляется за цель.   Если вы атаковали нежить, то цель также получает помеху на броски атаки против вас, до конца вашего следующего хода.   Урон заклинания увеличивается на 1d8, когда вы достигаете 5 уровня (2d8), 11 уровня (3d8) и 17 уровня (4d8).;Чародей;
0;Танцующие огоньки;Трюк, проявление;1 действие;120 футов;В, С, M ;Конц-я, до 1 мин;(кусочек фосфора, ведьминого дерева или личинка светляка) Вы создаете четыре огонька размером с огонь факела в пределах дальности заклинания, делая их похожими на свет фонарей, факелов или сияющих шариков, которые парят в воздухе, пока действует заклинание. Кроме того, вы можете соединить четыре огонька в один огонь, по форме отдаленно напоминающий гуманоида Среднего размера. Независимо от формы, огонек излучает тусклый свет в радиусе 10 футов.   В качестве дополнительного действия в свой ход вы можете передвинуть огоньки на расстояние до 60 футов в пределах дальности заклинания. Огонек должен находиться в пределах 20 футов от другого огонька, созданного этим заклинанием. Они мгновенно гаснут, оказавшись за пределами действия заклинания.;Чародей;
0;Огненная стрела;Трюк, проявление;1 действие;120 футов;В, С;мгновенно; Вы запускаете частичку огня в существо или предмет в пределах дальности заклинания. Сделайте Выную атаку дальнего боя по этой цели. При попадании цель получает 1d10 урона огнем. Воспламеняющися объект загорается при попадании, если он не находится во владении существа.   Урон заклинания увеличивается на 1d10 при достижении 5 уровня (2d10), 11 уровня (3d10) и 17 уровня (4d10).;Чародей;
0;Друзья;Трюк, очарование;1 действие;Вы;С, М ;Конц-я, до 1 мин;(немного косметики на лице в момент произнесения заклинания) На время действия заклинания вы получаете преимущество при всех проверках Харизмы, направленных на одно, выбранное вами невраждебное существо. Когда заклинание заканчивается, существо осознает, что вы использовали магию, чтобы воздействовать на него, и становится враждебным. Существо, склонное к насилию, может атаковать вас. Другие могут искать другой способ наказать вас (по усмотрению МП), в зависимости от того, как вы с ним взаимодействовали.;Чародей;
0;Свет;Трюк, проявление;1 действие;Касание;В, М ;1 час;(светлячок или фосфоресцирующий мох) Вы касаетесь одного объекта, размер которого не превышает 10 футов в любой из размерностей. Пока заклинание действует, объект излучает яркий свет на 20 футов от него и тусклый свет еще на 20 футов дальше. Окраска света может быть любой. Его можно заблокировать, накрыв объект чем-то непрозрачным. Действие заклинания заканчивается, если вы произносите его снова или отменяете в качестве действия. Если вы используете заклинание на объект, который одет или находится в руках враждебного существа, то это существо должно сделать спасбросок по Ловкости, чтобы избежать заклинания.;Чародей;
0;Волшебная рука;Трюк, призыв;1 действие;30 футов;В, С;1 минута; Призрачная, летающая рука появляется в указанной вами точке в пределах дальности заклинания. Рука существует до тех пор, пока заклинание не закончится или вы не отзовете ее в качестве действия. Рука также исчезает, если окажется на расстоянии более 30 футов от вас, или вы произнесете это заклинание снова.   В качестве действия вы можете управлять рукой. Вы можете  использовать ее, чтобы воздействовать на объекты, открывать незамкнутые двери или емкости, доставать или класть предмет в открытую емкость, или выливать содержимое из флаконов. Вы можете перемещать руку на расстояние до 30 футов каждый раз, когда вы используете ее.   Рука не может атаковать, активировать магические предметы или поднимать предметы весом более 10 фунтов.;Чародей;
0;Починка;Трюк, преобразование;1 минута;Касание;В, С, М ;Мгновенно;(два магнетита) Это заклинание восстанавливает один разлом или разрыв в объекте, которого вы касаетесь. Например сломанное звено цепи, две половинки сломанного ключа, порваный плащ или протекающий бурдюк. Пока разрыв или разлом не больше 1 фута в любой из размерностей, вы полностью исправляете его, не оставляя следов. Заклинание способно физически починить магический предмет или голема, но не может вернуть в него магию.;Чародей;
0;Сообщение;Трюк, преобразование;1 действие;120 футов;В, С, M ;1 раунд;(короткий отрезок медной проволоки) Вы направляете палец на существо в пределах дальности заклинания и шепчете послание. Цель (и только она) слышит это послание и может ответить шепотом, который услышите только вы.   Вы можете использовать это заклинание сквозь твердые объекты, если вы знакомы с целью и знаете, что она находится по другую сторону объекта. Магическая тишина, 1 фут камня, 1 дюйм обычного металла, тонкий слой свинца или 3 фута дерева блокируют заклинание. Заклинание может распространяться не  только по прямой линии, но и свободно огибать углы и проникать в проемы.;Чародей;
